time,ax,ay,az,atotal
0.01125478744506836,0.07,0.01,-0.37,0.37
0.014991998672485352,0.06,-0.02,-0.19,0.2
0.025573015213012695,0.21,-0.08,-0.22,0.31
0.0346529483795166,0.29,-0.12,-0.22,0.38
0.04454612731933594,0.19,-0.13,-0.09,0.24
0.05513596534729004,0.11,-0.08,0.03,0.13
0.06465387344360352,0.14,-0.06,0.1,0.18
0.07532787322998047,0.18,-0.09,0.07,0.21
0.0846710205078125,0.18,-0.1,0.06,0.21
0.09460210800170898,0.11,-0.09,0.01,0.14
0.10456991195678711,0.02,-0.07,-0.12,0.14
0.11438179016113281,0.0,-0.02,-0.32,0.32
0.12481307983398438,0.08,-0.02,-0.59,0.59
0.13458490371704102,0.16,-0.01,-0.69,0.7
0.14418506622314453,0.23,0.08,-0.52,0.57
0.15429997444152832,0.24,0.12,-0.34,0.43
0.1650409698486328,0.2,0.1,-0.14,0.26
0.17765593528747559,0.1,0.07,-0.02,0.12
0.18419408798217773,0.0,0.0,-0.01,0.01
0.19673681259155273,-0.09,-0.09,-0.03,0.13
0.2044079303741455,-0.19,-0.1,-0.11,0.24
0.21528291702270508,-0.21,-0.08,-0.14,0.26
0.22781085968017578,-0.12,-0.05,-0.15,0.19
0.23372602462768555,-0.04,-0.03,-0.18,0.18
0.24784612655639648,-0.02,0.02,-0.06,0.06
0.25391697883605957,0.0,0.04,-0.07,0.08
0.2657790184020996,0.05,0.05,-0.31,0.31
0.2796139717102051,0.14,0.06,-0.59,0.6
0.28328514099121094,0.12,0.04,-0.74,0.75
0.29848289489746094,-0.02,0.07,-0.67,0.67
0.3030848503112793,-0.23,0.13,-0.47,0.53
0.313784122467041,-0.15,-0.25,-0.66,0.72
0.3255279064178467,0.06,0.05,-0.22,0.23
0.33357906341552734,-0.11,0.37,0.37,0.53
0.3431510925292969,-0.2,0.26,0.68,0.75
0.3538241386413574,-0.24,0.1,0.89,0.92
0.36327195167541504,-0.24,0.14,0.66,0.71
0.3770899772644043,-0.21,0.17,0.44,0.51
0.3827359676361084,-0.09,0.18,0.59,0.62
0.39791011810302734,0.15,0.19,0.86,0.89
0.40300798416137695,0.18,0.06,0.75,0.77
0.41490602493286133,0.0,-0.12,0.28,0.3
0.42781496047973633,-0.13,-0.12,-0.39,0.42
0.4326639175415039,-0.15,0.07,-0.8,0.81
0.44843006134033203,-0.04,0.23,-0.81,0.84
0.45279884338378906,0.08,0.21,-0.74,0.77
0.4655728340148926,0.2,0.16,-0.66,0.7
0.47828102111816406,0.28,0.12,-0.65,0.71
0.4825758934020996,0.29,0.16,-0.71,0.78
0.49810099601745605,0.28,0.25,-0.75,0.83
0.5025548934936523,0.23,0.25,-0.61,0.69
0.5155320167541504,0.18,0.15,-0.32,0.39
0.5288820266723633,0.09,0.05,0.14,0.17
0.5319359302520752,0.17,0.02,0.5,0.52
0.5476839542388916,0.26,-0.06,0.54,0.6
0.5518198013305664,0.33,-0.14,0.34,0.49
0.5648069381713867,0.37,-0.16,-0.02,0.4
0.5788149833679199,0.34,-0.07,-0.28,0.44
0.5816519260406494,0.31,0.03,-0.4,0.5
0.5980448722839355,0.28,0.05,-0.32,0.42
0.6014299392700195,0.23,-0.02,-0.19,0.29
0.6173520088195801,0.23,-0.08,-0.06,0.25
0.6312029361724854,0.32,-0.06,-0.04,0.32
0.6327869892120361,0.4,-0.03,-0.04,0.4
0.6476149559020996,0.47,0.0,-0.06,0.47
0.6512160301208496,0.5,-0.02,-0.11,0.51
0.6648130416870117,0.48,-0.02,-0.14,0.5
0.6767940521240234,0.41,-0.03,-0.17,0.44
0.6813809871673584,0.33,-0.08,-0.2,0.39
0.6909561157226562,0.24,-0.14,-0.31,0.41
0.7014219760894775,0.11,-0.17,-0.3,0.36
0.7112278938293457,0.11,-0.17,-0.15,0.25
0.7235419750213623,0.16,-0.23,-0.06,0.28
0.7313539981842041,0.1,-0.32,-0.09,0.34
0.7409391403198242,-0.03,-0.35,-0.3,0.46
0.7515039443969727,-0.15,-0.31,-0.49,0.59
0.7610220909118652,-0.2,-0.24,-0.52,0.6
0.7740459442138672,-0.18,-0.22,-0.62,0.68
0.7812409400939941,-0.17,-0.25,-0.72,0.78
0.791132926940918,-0.21,-0.22,-0.68,0.74
0.8012709617614746,-0.3,-0.17,-0.56,0.65
0.8109230995178223,-0.35,-0.17,-0.37,0.53
0.8239169120788574,-0.31,-0.15,-0.28,0.44
0.8312621116638184,-0.29,-0.15,-0.3,0.44
0.8405790328979492,-0.32,-0.14,-0.24,0.42
0.8512840270996094,-0.35,-0.05,0.05,0.35
0.8610978126525879,-0.28,0.03,0.42,0.5
0.8748440742492676,-0.11,-0.02,0.53,0.54
0.880547046661377,-0.02,-0.07,0.48,0.48
0.8900949954986572,-0.08,-0.05,0.35,0.36
0.900458812713623,-0.2,0.01,0.24,0.31
0.9103560447692871,-0.19,0.07,0.25,0.32
0.9244771003723145,-0.05,0.07,0.24,0.25
0.9303309917449951,0.07,0.05,0.14,0.16
0.9401578903198242,0.08,0.06,0.08,0.12
0.9504218101501465,0.07,0.1,0.09,0.15
0.9603869915008545,0.08,0.13,0.16,0.22
0.9748721122741699,0.2,0.1,0.11,0.24
0.9800930023193359,0.28,0.01,0.02,0.28
0.9893298149108887,0.25,0.01,-0.08,0.26
0.9999270439147949,0.18,0.1,-0.11,0.23
1.0100269317626953,0.17,0.17,-0.12,0.26
1.0232789516448975,0.21,0.15,-0.13,0.28
1.029468059539795,0.26,0.11,-0.15,0.31
1.0394411087036133,0.27,0.09,-0.24,0.37
1.049750804901123,0.27,0.12,-0.42,0.51
1.0593748092651367,0.29,0.11,-0.56,0.64
1.071363925933838,0.31,0.09,-0.61,0.69
1.0787668228149414,0.33,0.12,-0.61,0.7
1.0894818305969238,0.35,0.17,-0.49,0.62
1.0995121002197266,0.39,0.18,-0.32,0.53
1.1095860004425049,0.41,0.17,-0.17,0.47
1.123021125793457,0.39,0.15,-0.04,0.41
1.1287598609924316,0.38,0.16,0.1,0.42
1.1385579109191895,0.36,0.14,0.19,0.43
1.149341106414795,0.29,0.09,0.26,0.39
1.1588430404663086,0.21,0.09,0.32,0.39
1.1710479259490967,0.2,0.07,0.31,0.37
1.178299903869629,0.19,0.02,0.27,0.33
1.1885628700256348,0.2,-0.01,0.15,0.25
1.1992459297180176,0.17,0.01,0.01,0.17
1.2088298797607422,0.14,0.04,-0.06,0.15
1.2227210998535156,0.16,0.06,-0.09,0.19
1.2281179428100586,0.2,0.06,-0.05,0.21
1.2385549545288086,0.19,0.03,-0.05,0.19
1.248769998550415,0.13,-0.01,-0.09,0.15
1.2582130432128906,0.04,-0.01,-0.09,0.09
1.2728869915008545,-0.04,0.01,-0.08,0.09
1.2774789333343506,-0.04,0.03,-0.08,0.09
1.2881278991699219,0.01,0.05,-0.06,0.07
1.2985479831695557,0.07,0.08,-0.01,0.1
1.3082771301269531,0.09,0.1,-0.02,0.13
1.3211898803710938,0.04,0.06,-0.17,0.18
1.3281269073486328,-0.04,0.01,-0.34,0.34
1.3377089500427246,-0.11,0.02,-0.39,0.4
1.3491220474243164,-0.16,0.03,-0.42,0.45
1.3584299087524414,-0.17,-0.01,-0.48,0.5
1.3713479042053223,-0.2,-0.05,-0.54,0.57
1.377120018005371,-0.21,-0.01,-0.53,0.57
1.3876070976257324,-0.2,0.06,-0.42,0.46
1.3975830078125,-0.14,0.09,-0.29,0.33
1.4076991081237793,-0.08,0.05,-0.19,0.21
1.4209527969360352,-0.05,0.01,-0.11,0.12
1.4270548820495605,-0.15,0.0,-0.04,0.15
1.437452793121338,-0.25,-0.01,-0.03,0.25
1.4470980167388916,-0.26,-0.03,-0.05,0.26
1.4577178955078125,-0.27,-0.04,-0.08,0.28
1.4707999229431152,-0.28,-0.02,-0.13,0.3
1.476958990097046,-0.25,-0.02,-0.16,0.29
1.4869379997253418,-0.19,-0.06,-0.22,0.29
1.4967749118804932,-0.23,-0.08,-0.3,0.38
1.5071120262145996,-0.31,-0.07,-0.38,0.49
1.5204100608825684,-0.32,-0.06,-0.42,0.53
1.526366949081421,-0.31,-0.07,-0.42,0.52
1.5368537902832031,-0.34,-0.09,-0.37,0.51
1.5465221405029297,-0.44,-0.11,-0.24,0.51
1.5567619800567627,-0.5,-0.11,-0.1,0.52
1.5694169998168945,-0.41,-0.1,0.0,0.42
1.5761709213256836,-0.33,-0.09,0.11,0.35
1.5868210792541504,-0.31,-0.05,0.18,0.36
1.5972161293029785,-0.29,-0.04,0.2,0.35
1.6066570281982422,-0.29,-0.08,0.15,0.33
1.6193981170654297,-0.3,-0.1,0.07,0.32
1.6258268356323242,-0.33,-0.09,-0.01,0.34
1.6359920501708984,-0.37,-0.11,-0.05,0.38
1.6458511352539062,-0.41,-0.12,-0.05,0.43
1.6561861038208008,-0.38,-0.12,-0.08,0.4
1.6692769527435303,-0.32,-0.12,-0.06,0.34
1.675771951675415,-0.21,-0.08,0.03,0.22
1.6858210563659668,-0.14,-0.04,0.12,0.18
1.6958959102630615,-0.11,-0.05,0.19,0.22
1.705833911895752,-0.14,-0.1,0.21,0.27
1.7184810638427734,-0.18,-0.14,0.16,0.27
1.7252798080444336,-0.21,-0.14,0.08,0.26
