time,ax,ay,az,atotal
0.008871078491210938,0.03,-0.11,-0.01,0.11
0.020454883575439453,0.06,-0.15,0.31,0.34
0.02210092544555664,-0.03,-0.1,0.54,0.55
0.02625894546508789,-0.15,-0.03,0.53,0.55
0.03669905662536621,-0.2,-0.06,0.47,0.51
0.048915863037109375,-0.2,-0.16,0.38,0.45
0.05801105499267578,-0.17,-0.19,0.2,0.32
0.06603193283081055,-0.13,-0.17,-0.04,0.21
0.07653617858886719,0.0,-0.15,-0.23,0.27
0.08619213104248047,0.14,-0.13,-0.23,0.29
0.0979619026184082,0.18,-0.05,-0.14,0.23
0.10708189010620117,0.18,-0.04,-0.22,0.28
0.11597919464111328,0.09,-0.07,-0.34,0.35
0.1256551742553711,-0.04,-0.07,-0.33,0.33
0.13574790954589844,-0.18,-0.06,-0.24,0.3
0.14811396598815918,-0.23,-0.09,-0.08,0.25
0.1575920581817627,-0.21,-0.12,0.15,0.28
0.1660919189453125,-0.13,-0.17,0.36,0.41
0.1754310131072998,-0.03,-0.23,0.39,0.45
0.18544507026672363,0.07,-0.28,0.2,0.35
0.19764399528503418,0.11,-0.29,-0.07,0.31
0.20692706108093262,0.03,-0.21,-0.09,0.23
0.21538686752319336,-0.05,-0.12,0.01,0.13
0.22527217864990234,-0.05,-0.09,0.12,0.15
0.2351689338684082,0.0,-0.18,0.24,0.3
0.24884319305419922,0.02,-0.27,0.25,0.36
0.25838184356689453,0.0,-0.36,0.11,0.37
0.2652101516723633,-0.05,-0.44,-0.06,0.44
0.28020501136779785,-0.11,-0.5,-0.3,0.59
0.28504204750061035,-0.16,-0.65,-0.57,0.87
0.2983589172363281,-0.31,-0.62,-0.68,0.97
0.30794286727905273,-0.43,-0.46,-0.68,0.92
0.3147869110107422,-0.51,-0.36,-0.45,0.76
0.3249678611755371,-0.46,-0.4,0.21,0.64
0.3347358703613281,-0.41,-0.49,0.63,0.89
0.3480260372161865,-0.43,-0.59,0.61,0.95
0.358705997467041,-0.37,-0.67,0.52,0.92
0.3648359775543213,-0.26,-0.54,0.58,0.83
0.3807539939880371,-0.2,-0.11,0.07,0.23
0.3841719627380371,-0.04,-0.05,-0.44,0.44
0.3975989818572998,0.16,-0.13,-0.39,0.44
0.4078211784362793,-0.01,0.0,-0.26,0.26
0.41434717178344727,-0.2,0.22,-0.36,0.46
0.42440104484558105,-0.04,-0.03,-0.59,0.59
0.4346940517425537,0.02,-0.08,-0.62,0.62
0.4468960762023926,-0.2,0.17,-0.57,0.62
0.4572780132293701,-0.24,0.22,-0.64,0.71
0.46406984329223633,-0.01,0.17,-0.45,0.48
0.47397613525390625,0.34,-0.34,-0.24,0.53
0.48457908630371094,0.15,0.04,-0.03,0.15
0.4971809387207031,-0.15,0.29,-0.15,0.35
0.5078890323638916,-0.14,0.08,0.02,0.16
0.5139870643615723,0.14,-0.45,0.42,0.63
0.5237240791320801,0.32,-1.05,0.94,1.44
0.5344319343566895,-0.03,-0.75,1.35,1.54
0.5467228889465332,-0.43,-0.51,1.0,1.2
0.556689977645874,-0.63,-0.24,0.38,0.77
0.5635519027709961,-0.62,-0.41,-0.15,0.75
0.5737380981445312,-0.73,-0.26,-0.38,0.86
0.583482027053833,-0.55,-0.72,-0.56,1.06
0.5966379642486572,-0.75,0.33,-0.46,0.93
0.6072101593017578,-0.25,-0.51,-0.33,0.65
0.6133508682250977,0.04,-0.5,0.27,0.56
0.6236228942871094,-0.2,-0.33,0.43,0.57
0.6337151527404785,-0.18,-0.79,0.29,0.86
0.6458549499511719,-0.37,-0.21,0.03,0.42
0.6565730571746826,-0.24,-0.26,-0.08,0.36
0.6633410453796387,-0.03,-0.13,-0.06,0.14
0.6725900173187256,0.33,-0.64,0.36,0.8
0.6835198402404785,-0.04,-0.17,0.33,0.37
0.6958098411560059,-0.28,-0.6,0.1,0.66
0.7071700096130371,-0.68,0.03,0.02,0.68
0.7133989334106445,-0.55,-0.4,-0.07,0.68
0.7227530479431152,-0.49,-0.11,-0.25,0.56
0.7329649925231934,-0.08,-0.68,-0.19,0.71
0.7455458641052246,0.06,-0.8,-0.07,0.8
0.7557001113891602,-0.18,-0.45,-0.36,0.6
0.7626869678497314,-0.23,-0.68,-0.35,0.79
0.7728359699249268,-0.36,-0.31,-0.36,0.59
0.7830848693847656,-0.18,-0.44,-0.38,0.6
0.7950921058654785,-0.15,-0.3,-0.43,0.54
0.8056049346923828,-0.41,0.37,-0.67,0.86
0.8124399185180664,-0.39,0.49,-0.94,1.12
0.8224539756774902,-0.15,-0.09,-0.97,0.98
0.8326401710510254,-0.27,0.45,-0.99,1.12
0.8453190326690674,-0.4,0.69,-0.89,1.19
0.8560571670532227,-0.25,0.41,-0.26,0.54
0.8626010417938232,-0.3,0.98,-0.24,1.05
0.8720560073852539,0.25,0.58,-0.34,0.71
0.8829300403594971,0.91,-0.03,-0.06,0.91
0.8944950103759766,0.88,0.39,-0.15,0.97
0.9056210517883301,0.2,0.87,-0.35,0.95
0.9117588996887207,-0.35,1.37,-0.43,1.47
0.9217159748077393,-0.71,0.89,-0.12,1.14
0.931851863861084,-0.89,0.47,0.06,1.0
0.944368839263916,-0.76,0.25,0.16,0.81
0.9549188613891602,-0.59,0.09,0.33,0.68
0.9612789154052734,-0.3,0.07,0.39,0.49
0.9714610576629639,-0.29,-0.37,0.52,0.7
0.981989860534668,-0.52,-0.38,0.34,0.72
0.9939799308776855,-0.74,-0.4,0.36,0.91
1.0038390159606934,-0.75,-0.39,0.37,0.92
1.0109519958496094,-0.48,-0.25,0.45,0.7
1.0210919380187988,-0.31,-0.21,0.71,0.8
1.0316829681396484,-0.26,-0.11,0.84,0.88
1.0439600944519043,-0.23,0.27,0.49,0.6
1.0542089939117432,-0.41,0.04,0.36,0.54
1.0614619255065918,-0.42,0.01,0.12,0.43
1.0711770057678223,-0.39,-0.3,0.16,0.51
1.0810949802398682,-0.57,0.03,0.02,0.57
1.094012975692749,-0.52,0.35,-0.4,0.74
1.1042959690093994,-0.47,-0.28,-0.23,0.59
1.1107678413391113,-0.45,0.35,-0.41,0.7
1.1205968856811523,-0.55,0.01,-0.5,0.74
1.130990982055664,-0.56,0.23,-0.29,0.67
1.1434359550476074,-0.19,0.18,-0.07,0.27
1.1544060707092285,0.28,-0.29,0.17,0.43
1.1604740619659424,0.33,-0.23,0.29,0.49
1.17057204246521,-0.03,-0.55,-0.91,1.06
1.1805338859558105,-0.74,-0.4,-2.0,2.16
1.1930890083312988,-1.32,0.85,-1.0,1.86
1.202991008758545,-0.83,0.59,-0.19,1.03
1.2098050117492676,-0.1,0.14,-0.03,0.17
1.219864845275879,0.36,-0.01,0.02,0.36
1.2302041053771973,0.63,-0.17,0.05,0.65
1.2427878379821777,0.63,-0.04,0.8,1.01
1.2530829906463623,0.51,-0.27,1.11,1.25
1.2596659660339355,0.11,0.03,-0.43,0.44
1.2698299884796143,-0.07,0.49,-0.01,0.49
1.2802660465240479,0.26,-0.66,-0.44,0.83
1.2926759719848633,0.45,0.35,1.0,1.15
