time,ax,ay,az,atotal
0.010698795318603516,0.28,-0.33,0.15,0.45
0.012949943542480469,0.27,-0.39,0.34,0.58
0.025218963623046875,0.15,-0.36,0.11,0.4
0.032814979553222656,0.43,-0.31,-0.17,0.55
0.04314374923706055,0.29,-0.25,-0.34,0.51
0.052886962890625,-0.25,0.06,-0.31,0.4
0.06302690505981445,-0.57,0.55,-0.88,1.18
0.07537698745727539,0.39,-0.27,-0.2,0.51
0.08233499526977539,-0.33,0.59,0.72,0.98
0.09273195266723633,-1.08,1.11,-1.95,2.49
0.10246801376342773,1.24,-1.34,0.71,1.95
0.11238694190979004,1.86,-3.5,1.39,4.2
0.12459087371826172,-0.72,-1.88,3.07,3.67
0.13246393203735352,-1.93,0.51,-1.12,2.28
0.14235305786132812,0.41,2.08,-1.85,2.81
0.15275287628173828,0.17,2.12,-3.11,3.76
0.16223597526550293,-1.13,1.02,-0.41,1.57
0.1739358901977539,-0.89,-0.69,0.72,1.33
0.18189692497253418,0.45,-1.71,1.8,2.52
0.19204378128051758,0.16,-1.64,1.36,2.13
0.2017209529876709,-0.85,-0.33,0.65,1.11
0.21200990676879883,-0.61,0.68,-0.85,1.24
0.22426891326904297,0.07,1.1,-1.58,1.92
0.23144197463989258,-0.12,0.71,-1.15,1.35
0.2422959804534912,-0.42,-0.11,0.05,0.43
0.25183582305908203,0.08,-0.84,0.91,1.24
0.2618570327758789,0.5,-1.16,1.04,1.63
0.2727217674255371,0.34,-0.79,0.64,1.07
0.28161096572875977,0.04,-0.14,-0.39,0.41
0.29173803329467773,0.47,-0.02,-1.17,1.26
0.30130696296691895,1.08,0.07,-1.36,1.73
0.3115720748901367,0.76,-0.14,-0.39,0.86
0.32226085662841797,0.42,-0.78,0.73,1.14
0.33113574981689453,0.55,-0.62,1.06,1.34
0.34120893478393555,0.55,-0.81,0.76,1.23
0.3511800765991211,0.18,0.21,0.05,0.28
0.3612208366394043,-0.13,0.33,-0.25,0.43
0.37256789207458496,-0.36,0.78,0.84,1.2
0.38074398040771484,-0.75,-0.09,3.17,3.25
0.391326904296875,-0.81,-0.77,2.52,2.75
0.40047287940979004,0.44,-0.19,0.07,0.48
0.4109940528869629,0.43,1.92,-1.37,2.39
0.42190074920654297,-0.56,1.5,-2.24,2.75
0.43091893196105957,0.07,0.37,-2.84,2.86
0.4407768249511719,1.03,1.07,-2.99,3.33
0.4505300521850586,0.61,0.87,-2.2,2.44
0.46083879470825195,0.26,0.95,-0.26,1.01
0.47321510314941406,0.88,-0.15,-0.04,0.89
0.48062896728515625,1.42,-0.58,0.15,1.54
0.49042797088623047,0.73,0.37,-0.24,0.85
0.5008149147033691,-0.65,1.46,-0.04,1.59
0.5104489326477051,-0.64,1.23,-0.73,1.56
0.5218589305877686,0.77,0.67,0.15,1.03
0.5299429893493652,0.63,0.26,1.0,1.21
0.5400769710540771,-1.15,1.06,2.25,2.74
