time,ax,ay,az,atotal
0.011542081832885742,0.29,-0.35,0.54,0.7
0.022504091262817383,0.09,-0.23,0.36,0.43
0.024669170379638672,0.06,0.07,-0.06,0.11
0.03492593765258789,0.28,0.11,-0.44,0.53
0.044944047927856445,0.34,0.09,-0.61,0.7
0.055036067962646484,0.2,-0.08,-0.29,0.36
0.06460309028625488,0.09,-0.19,0.06,0.21
0.07487916946411133,0.13,-0.22,0.26,0.36
0.08449411392211914,0.02,-0.18,-0.09,0.2
0.09438323974609375,0.51,-0.75,0.32,0.96
0.10477304458618164,-0.41,0.27,0.38,0.62
0.11570906639099121,-0.99,0.9,-1.22,1.81
0.12404489517211914,0.04,1.04,-1.09,1.5
0.13431406021118164,0.14,0.36,-0.76,0.85
0.14430904388427734,-0.44,-0.17,0.44,0.64
0.15416717529296875,-0.42,-0.5,0.78,1.01
0.16483807563781738,-0.05,-0.26,0.46,0.53
0.17369508743286133,0.03,0.02,-0.1,0.1
0.18456602096557617,-0.14,0.46,-0.55,0.73
0.19397807121276855,-0.21,0.59,-0.83,1.03
0.20443010330200195,-0.03,0.33,-0.68,0.75
0.21579909324645996,0.16,-0.03,-0.09,0.18
0.22364306449890137,0.12,-0.26,0.36,0.46
0.23352909088134766,0.11,-0.23,0.43,0.49
0.24381208419799805,0.29,-0.07,-0.04,0.3
0.25391602516174316,0.36,0.15,-0.38,0.54
0.2649211883544922,0.15,0.22,-0.74,0.78
0.2740480899810791,0.2,-0.02,-0.43,0.47
0.28763508796691895,0.45,-0.22,-0.14,0.52
0.29344797134399414,0.52,-0.61,0.16,0.81
0.30353403091430664,0.44,-0.54,0.42,0.81
0.3146040439605713,0.45,-0.34,0.17,0.58
0.3228759765625,0.48,-0.03,-0.32,0.57
0.3336930274963379,0.41,0.06,-0.47,0.62
0.34292101860046387,0.39,0.04,-0.58,0.7
0.35312604904174805,0.55,-0.13,-0.52,0.76
0.3648810386657715,0.8,-0.1,-0.14,0.81
0.37253403663635254,1.02,0.96,-2.67,3.01
0.3883540630340576,1.31,0.37,1.83,2.28
0.3927040100097656,-0.55,0.76,-0.24,0.96
0.403393030166626,-0.63,0.97,1.08,1.58
0.4148111343383789,0.37,1.04,-1.3,1.7
0.42261219024658203,1.79,-0.26,-1.31,2.23
0.43718814849853516,1.37,0.21,-0.99,1.7
0.4421670436859131,-0.36,0.49,0.43,0.74
0.4527261257171631,-0.86,0.58,0.5,1.15
0.4636859893798828,0.45,0.15,-0.13,0.49
0.4721250534057617,1.59,0.1,-0.89,1.82
0.4826540946960449,1.62,-0.08,-1.37,2.12
0.4920170307159424,0.86,0.33,-0.56,1.07
0.5026600360870361,0.1,0.32,-0.43,0.54
0.5141110420227051,0.25,0.21,0.04,0.32
0.5220131874084473,0.78,-0.11,-0.28,0.83
0.5326740741729736,0.64,0.66,-0.5,1.04
0.5418510437011719,0.09,1.03,-1.08,1.49
0.5524170398712158,0.12,1.64,-1.26,2.07
0.564500093460083,0.18,1.66,-1.2,2.05
0.5716180801391602,-0.48,1.75,-0.19,1.82
0.5818381309509277,-0.8,1.71,0.1,1.89
0.5917329788208008,-0.05,1.23,0.44,1.3
0.6019871234893799,0.51,0.98,-0.43,1.18
0.6139369010925293,0.29,1.25,-0.52,1.38
0.6216611862182617,0.24,0.85,-1.19,1.48
0.631289005279541,0.73,1.06,-1.38,1.88
0.641916036605835,0.13,1.0,-1.2,1.56
0.6515190601348877,-0.99,0.96,-0.85,1.61
