time,ax,ay,az,atotal
0.012694120407104492,0.8,-0.82,1.95,2.26
0.02326202392578125,-0.55,-1.72,3.05,3.54
0.024770021438598633,-0.85,-0.63,1.02,1.46
0.03444099426269531,0.63,0.61,-0.99,1.32
0.04492902755737305,0.58,1.16,-2.93,3.2
0.054512977600097656,-0.42,0.97,-2.4,2.62
0.0663919448852539,0.21,0.22,-0.55,0.62
0.07418704032897949,1.22,-1.3,0.9,1.99
0.08451700210571289,1.19,-1.3,1.99,2.65
0.0941781997680664,0.47,-1.13,1.25,1.74
0.10443401336669922,0.5,0.23,-0.2,0.58
0.1155240535736084,1.18,0.53,-2.08,2.44
0.12411117553710938,1.43,0.9,-2.76,3.23
0.1341230869293213,0.86,0.81,-1.16,1.65
0.144287109375,0.79,-0.42,0.06,0.89
0.15378522872924805,1.01,-0.29,1.2,1.59
0.16491317749023438,0.9,-0.34,0.73,1.2
0.17372703552246094,0.45,-0.43,-0.51,0.8
0.18364191055297852,-0.11,1.9,-1.1,2.19
0.1940610408782959,0.23,1.06,-1.9,2.18
0.20408201217651367,0.96,1.17,-2.03,2.53
0.2172870635986328,1.22,-0.01,-0.61,1.36
0.22345399856567383,0.23,1.3,-0.31,1.35
0.23353290557861328,0.76,-0.17,0.26,0.82
0.24380803108215332,1.91,1.13,-3.24,3.92
0.2537200450897217,1.53,-0.53,1.52,2.22
0.26768016815185547,-1.67,2.81,1.08,3.44
0.2730560302734375,-1.6,3.87,-1.46,4.43
0.2831082344055176,2.19,-0.56,-6.24,6.63
0.2939882278442383,2.86,-0.42,-0.64,2.96
0.30370616912841797,-0.44,0.22,1.52,1.59
0.3178110122680664,-2.37,0.66,2.33,3.38
0.32311511039733887,1.43,-1.12,-0.56,1.9
0.33276796340942383,2.53,-0.29,-2.51,3.57
0.34358692169189453,-2.22,0.84,0.34,2.39
0.3531050682067871,-2.21,-0.09,0.53,2.27
0.3683741092681885,5.0,0.18,-2.35,5.52
0.3726539611816406,6.1,1.2,-3.39,7.08
0.38288402557373047,2.23,3.68,0.08,4.3
0.3928511142730713,-1.5,1.88,1.61,2.89
0.4028780460357666,-1.86,3.07,1.26,3.8
0.4158921241760254,1.09,1.2,-3.14,3.53
0.4223051071166992,4.15,-1.13,-3.85,5.77
0.4328908920288086,3.35,0.47,-1.05,3.54
0.4430680274963379,0.0,1.37,0.95,1.66
0.45268917083740234,-0.95,1.15,0.37,1.53
0.46607208251953125,1.34,0.7,-1.78,2.33
